index,DESPC,DESSC,DESWC,DESPL,DESPLd,DESSL,DESSLd,DESWLsy,DESWLsyd,DESWLlt,DESWLltd,WRDNOUN,WRDVERB,WRDADJ,WRDADV,WRDPRO,WRDPRP1s,WRDPRP1p,WRDPRP2s,WRDPRP2p,WRDPRP3s,WRDPRP3p,DRNP,DRVP,DRNEG,SYNNP,SYNLE,CNCAll,CNCCaus,CNCLogic,CNCADC,CNCTemp,CNCAdd,LDTTRa,LDTTRcw,RDFHGL,CRFNO1,CRFAO1,CRFSO1,CRFCWO1,CRFCWO1d,CRFANP1,CRFNOa,CRFAOa,CRFSOa,CRFCWOa,CRFCWOad,CRFANPa
0,1,6,41,6,0.0,6.833333333333333,6.335525936249404,1.975609756097561,1.1993454490872435,4.975609756097561,3.21192750334345,439.0243902439024,48.78048780487805,73.17073170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.5121951219512,0.0,0.0,0.2222222222222222,4.166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.8260869565217391,198.68463414634147,0.2,0.2,0.2,0.09047619047619047,0.11703053073756672,0.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.046825396825396826,0.09627085541019637,0.0
1,1,7,63,7,0.0,9.0,5.3718844791323335,1.9206349206349207,1.2123908859637023,4.777777777777778,3.443164124568058,412.69841269841265,47.61904761904761,15.873015873015872,0.0,31.746031746031743,0.0,0.0,0.0,0.0,0.0,0.0,158.73015873015873,0.0,0.0,0.0,7.428571428571429,31.746031746031743,0.0,31.746031746031743,0.0,0.0,0.0,0.5396825396825397,0.7333333333333333,196.50761904761904,0.5,0.5,0.5,0.14047619047619048,0.1788886072024937,0.0,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.13521689950261379,0.1651178688480212,0.0
2,1,3,12,3,0.0,4.0,1.4142135623730951,2.1666666666666665,0.7993052538854533,4.833333333333333,1.7240134054647667,250.0,166.66666666666666,83.33333333333333,0.0,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.9166666666666666,1.0,201.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,15,3,0.0,5.0,6.377042156569663,1.5333333333333334,0.8844332774281066,3.933333333333333,2.322833518691246,133.33333333333334,333.3333333333333,133.33333333333334,133.33333333333334,200.0,66.66666666666667,0.0,0.0,0.0,66.66666666666667,0.0,200.0,66.66666666666667,133.33333333333334,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,0.9090909090909091,200.82000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,23,1,0.0,23.0,0.0,1.608695652173913,0.76551377659387,3.9130434782608696,2.301474829194095,130.43478260869566,217.3913043478261,130.43478260869566,43.47826086956522,173.91304347826087,86.95652173913044,0.0,0.0,0.0,43.47826086956522,0.0,130.43478260869566,43.47826086956522,43.47826086956522,1.0,4.0,86.95652173913044,0.0,86.95652173913044,0.0,0.0,0.0,0.9565217391304348,1.0,182.41478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,7,72,7,0.0,10.285714285714286,6.734013571081529,1.8194444444444444,0.838755508160236,4.569444444444445,2.39110846499234,250.0,194.44444444444446,83.33333333333333,41.666666666666664,27.777777777777775,0.0,0.0,0.0,0.0,27.777777777777775,0.0,194.44444444444446,27.777777777777775,0.0,0.2857142857142857,6.857142857142857,69.44444444444444,13.888888888888888,27.777777777777775,0.0,27.777777777777775,0.0,0.6944444444444444,0.8048780487804879,195.25690476190476,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.10231481481481482,0.09001624034238061,0.0,0.47619047619047616,0.47619047619047616,0.47619047619047616,0.07873330373330373,0.09106381933515138,0.0
6,1,2,17,2,0.0,8.5,3.5,2.0,1.2833778958394957,5.117647058823529,3.233689441619942,235.2941176470588,352.94117647058823,58.8235294117647,58.8235294117647,176.47058823529412,117.6470588235294,0.0,0.0,0.0,58.8235294117647,0.0,235.2941176470588,117.6470588235294,0.0,0.25,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.75,196.97000000000003,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,0.5,0.0,1.0
7,1,2,20,2,0.0,10.0,9.0,1.8,0.6782329983125268,4.8,2.0639767440550294,200.0,300.0,50.0,0.0,200.0,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,1.0,10.0,50.0,0.0,0.0,0.0,50.0,0.0,0.9,1.0,195.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,3,20,3,0.0,6.666666666666667,4.0276819911981905,2.05,1.2835497652993435,5.2,3.515679166249389,400.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,50.0,0.0,0.25,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,198.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,1,15,1,0.0,15.0,0.0,1.9333333333333333,0.8537498983243799,4.866666666666666,2.217105219775452,466.6666666666667,0.0,200.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,1.0,190.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
